nombre,genero,anio_nacimiento,nacionalidad,status,ocupacion,anio_mision,edad_mision,mision_hs,eva_mision_hs
Aleksandr Kaleri,masculino,1956,U.S.S.R/Rusia,civil,ingeniero aeroespacial,2010,54,3824,0
Yuri Malenchenko,masculino,1961,U.S.S.R/Rusia,militar,comandante,2012,51,3047,5.85
Yuri Malenchenko,masculino,1961,U.S.S.R/Rusia,militar,comandante,2015,54,1477,4.72
Catherine G. Coleman,femenino,1960,EE.UU.,militar,ingeniero aeroespacial,2011,51,3823,0
Chris Hadfield,masculino,1959,Canada,militar,piloto,2012,53,3710.32,0
Koichi Wakata,masculino,1963,Japon,civil,comandante,2013,50,4509.75,0
Pavel Vinogradov,masculino,1953,U.S.S.R/Rusia,civil,comandante,2013,60,3990,6.62
Stephen K. Robinson,masculino,1955,EE.UU.,civil,especialista aeroespacial,2010,55,330,0
Steven W. Lindsey,masculino,1960,EE.UU.,militar,comandante,2011,51,307,0
Kathryn P. Hire,femenino,1959,EE.UU.,militar,especialista aeroespacial,2010,51,330,0
Gennady Padalka,masculino,1958,U.S.S.R/Rusia,militar,comandante,2012,54,2999,5.85
Gennady Padalka,masculino,1958,U.S.S.R/Rusia,militar,comandante,2015,57,4037,5.57
Scott J. Kelly,masculino,1964,EE.UU.,militar,ingeniero aeroespacial,2011,47,3825,0
Scott J. Kelly,masculino,1964,EE.UU.,militar,ingeniero aeroespacial,2015,51,8163,18.33
Jeffrey N. Williams,masculino,1958,EE.UU.,militar,ingeniero aeroespacial,2010,52,4060,0
Jeffrey N. Williams,masculino,1958,EE.UU.,militar,ingeniero aeroespacial,2016,58,4132,12.77
Richard A. Mastracchio,masculino,1960,EE.UU.,civil,especialista aeroespacial,2010,50,362,20.28
Richard A. Mastracchio,masculino,1960,EE.UU.,civil,ingeniero aeroespacial,2014,54,4509,14.57
Daniel C. Burbank,masculino,1961,EE.UU.,militar,comandante,2011,50,3968,0
Mikhail Tyurin,masculino,1960,U.S.S.R/Rusia,militar,comandante,2013,53,4509,0
Mark E. Kelly,masculino,1964,EE.UU.,militar,comandante,2011,47,377,0
Rex J. Walheim,masculino,1962,EE.UU.,militar,especialista aeroespacial,2011,49,306.5,0
Roverto Vittori,masculino,1964,Italia,militar,especialista aeroespacial,2011,47,377.65,0
Peggy A. Whitson,femenino,1960,EE.UU.,civil,ingeniero aeroespacial,2016,56,6941,20.58
Sandra H. Magnus,femenino,1964,EE.UU.,civil,especialista aeroespacial,2011,47,306,0
Piers J. Sellers,masculino,1955,Reino Unido,civil,especialista aeroespacial,2010,55,282.5,0
Fyodor Yurchikhin,masculino,1959,U.S.S.R/Rusia,civil,comandante,2010,51,3919,13.17
Fyodor Yurchikhin,masculino,1959,U.S.S.R/Rusia,civil,comandante,2013,54,3990,20.03
Fyodor Yurchikhin,masculino,1959,U.S.S.R/Rusia,civil,comandante,2017,58,3258,7.5
Donald R. Pettit,masculino,1955,EE.UU.,civil,ingeniero aeroespacial,2011,56,4627,0
E. Michael Fincke,masculino,1967,EE.UU.,militar,especialista aeroespacial,2011,44,378,22.42
Andre Kuipers,masculino,1958,Paises Bajos,civil,ingeniero aeroespacial,2012,54,4627,0
Michael E. Fossum,masculino,1957,EE.UU.,civil,comandante,2011,54,4014,6.52
Stephanie D. Wilson,femenino,1966,EE.UU.,civil,especialista aeroespacial,2010,44,362,0
Christopher J. Ferguson,masculino,1961,EE.UU.,militar,comandante,2011,50,306.5,0
Nicholas J. M. Patrick,masculino,1964,Reino Unido,civil,especialista aeroespacial,2010,46,330,18.23
Sunita L. Williams,femenino,1965,EE.UU.,militar,ingeniero aeroespacial,2012,47,3048,21.38
Oleg Kotov,masculino,1965,U.S.S.R/Rusia,militar,comandante,2013,48,3990,19.92
Steven R. Swanson,masculino,1960,EE.UU.,civil,ingeniero aeroespacial,2014,54,4007.13,0
